source,target,weight
Developing_Students_Computational_Thinking_and_Subject_Knowledge_through_Computational_Modeling_in_S.pdf,Computational thinking,4
Promoting_computational_thinking_of_both_sciences-_and_humanities-oriented_students_an_instructional.pdf,I Really Liked Learning About Action Research. What Is Next?,4
Assessing_4th_Grade_Students_Computational_Thinking_through_Scratch_Programming_Projects.pdf,Computational thinking,3
Finnish_teachers_and_students_programming_motivation_and_their_role_in_teaching_and_learning_computa.pdf,Computational thinking,3
Global_Trends_in_Computational_Thinking_in_Curricula_A_Comparative_Review.pdf,Chapter 1. Brookings Institution: The Case for Global Education,3
Promoting_computational_thinking_of_both_sciences-_and_humanities-oriented_students_an_instructional.pdf,appreciate that a help button has been implemented to bring me through the possible stuck points,3
Promoting_computational_thinking_of_both_sciences-_and_humanities-oriented_students_an_instructional.pdf,often applied guessing,3
Promoting_computational_thinking_of_both_sciences-_and_humanities-oriented_students_an_instructional.pdf,reached this performance because I understood the strategy the algorithm applies,3
Promoting_computational_thinking_of_both_sciences-_and_humanities-oriented_students_an_instructional.pdf,am disappointed that I was forced to use the help button so many times,3
Promoting_computational_thinking_of_both_sciences-_and_humanities-oriented_students_an_instructional.pdf,It would be better if I made use of the help button more efficiently,3
Promoting_computational_thinking_of_both_sciences-_and_humanities-oriented_students_an_instructional.pdf,I) I appreciate that the software makes possible to choose between repeating the current level task and moving to the next level task,3
Promoting_computational_thinking_of_both_sciences-_and_humanities-oriented_students_an_instructional.pdf,Although I made some mistake it would be boring to try it again,3
Promoting_computational_thinking_of_both_sciences-_and_humanities-oriented_students_an_instructional.pdf,consider that what this e-learning session implies is beyond me,3
Redefining_computational_thinking_A_holistic_framework_and_its_implications_for_K-12_education.pdf,Computational thinking,3
The_Effect_of_Unplugged_Coding_Activities_on_Computational_Thinking_Skills_of_Middle_School_Students.pdf,Bilgi işlemsel düşünmeden programlamaya,3
A_Model_for_Developing_Computational_Thinking_Skills.pdf,Computational thinking for youth in practice,2
A_Model_for_Developing_Computational_Thinking_Skills.pdf,Teaching computational thinking by playing games and building robots,2
A_multigroup_structural_equation_modeling_analysis_of_students_perception_motivation_and_performance.pdf,Bringing computational thinking to K-12,2
A_multigroup_structural_equation_modeling_analysis_of_students_perception_motivation_and_performance.pdf,Motivation and Self-Regulated Learning,2
A_Systematic_Review_of_Computational_Thinking_in_Early_Ages.pdf,Coding as another language: a pedagogical approach for teaching computer science in early childhood,2
An_Investigation_of_the_Data_Collection_Instruments_Developed_to_Measure_Computational_Thinking.pdf,Measurement and assessment in education,2
An_Investigation_of_the_Data_Collection_Instruments_Developed_to_Measure_Computational_Thinking.pdf,Computational thinking,2
An_Overview_of_Computational_Thinking.pdf,Bireylerin Bilgisayarca Düşünme Becerilerinin Farklı Değişkenler Açısından İncelenmesi (A Multi-Variable Investigation of the Computational Thinking Abilities of Individuals). Ondokuz Mayıs Üniversitesi Eğitim Fakültesi Dergisi (19 th May University,2
Analysis_of_algorithmic_strategy_development_in_the_development_of_computational_thinking_of_upper_e.pdf,"Visual programming languages integrated across the curriculum in elementary school: A two-year case study using ""scratch"" in five schools",2
Assessment_of_Computational_Thinking__A_Croatian_Evidence-Centered_Design_model.pdf,SPSS survival manual,2
Assessment_of_Eighth_Grade_Students_Domain-General_Computational_Thinking_Skills.pdf,Bilgi-İşlemsel Düşünme Becerilerinin İncelenmesi: Meslek Liseleri Örneklemi,2
ASTROCODE_A_SERIOUS_GAME_FOR_THE_DEVELOPMENT_OF_COMPUTATIONAL_THINKING_SKILLS.pdf,Serious games,2
