source,target
An elementary finite element exercise to stimulate computational thinking in engineering education,"Computational Thinking from a Disciplinary Perspective: Integrating Computational Thinking in K-12 Science, Technology, Engineering, and Mathematics Education"
An elementary finite element exercise to stimulate computational thinking in engineering education,Computational thinking and thinking about computing
An elementary finite element exercise to stimulate computational thinking in engineering education,Improving and Assessing Computational Thinking in Maker Activities: the Integration with Physics and Engineering Learning
An Investigation of In-service Teachers’ Perceptions and Development of Computational Thinking Skills in a Graduate Emerging Technologies Course,An Overview of Computational Thinking
An Investigation of In-service Teachers’ Perceptions and Development of Computational Thinking Skills in a Graduate Emerging Technologies Course,The Impact of Coding Apps to Support Young Children in Computational Thinking and Computational Fluency. A Literature Review
An Investigation of In-service Teachers’ Perceptions and Development of Computational Thinking Skills in a Graduate Emerging Technologies Course,Computational thinking in compulsory education: Towards an agenda for research and practice
An Investigation of the Data Collection Instruments Developed to Measure Computational Thinking,Computational Thinking Relationship with Digital Competence
An Investigation of the Data Collection Instruments Developed to Measure Computational Thinking,Computational thinking and thinking about computing
An Investigation of the Data Collection Instruments Developed to Measure Computational Thinking,Computational Thinking in Elementary and Secondary Teacher Education
An Operationalized Model for Defining Computational Thinking,Computational thinking and thinking about computing
An Overview of Computational Thinking,Computational thinking in compulsory education: Towards an agenda for research and practice
An Overview of Computational Thinking,Computational thinking and thinking about computing
An Overview of Computational Thinking,Computational Thinking in Elementary and Secondary Teacher Education
Assessing 4th Grade Students’ Computational Thinking through Scratch Programming Projects,The scope of autonomy when teaching computational thinking in primary school
Assessing Computational Thinking Process using a Multiple Evaluation Approach,Computational Thinking in Elementary and Secondary Teacher Education
Assessing Young Children's Computational Thinking Using Cognitive Diagnostic Modeling,Computational thinking and thinking about computing
Assessing young Korean children’s computational thinking: A validation study of two measurements,Computational thinking in compulsory education: Towards an agenda for research and practice
Assessment of Computational Thinking – A Croatian Evidence-Centered Design model,Computational thinking and thinking about computing
Assessment of Eighth Grade Students' Domain-General Computational Thinking Skills,"Computational Thinking Skills, Programming Self-Efficacies and Programming Attitudes of the Students"
Assessment of Eighth Grade Students' Domain-General Computational Thinking Skills,What is the Relationship between Students’ Computational Thinking Performance and School Achievement?
A Cross-Sectional Study Investigating Primary School Children’s Coding Practices and Computational Thinking Using ScratchJr,Computational Thinking Equity in Elementary Classrooms: What Third-Grade Students Know and Can Do
A data-driven approach to assess computational thinking concepts based on learners’ artifacts,Computational Thinking in pre-university Blended Learning classrooms
A data-driven approach to assess computational thinking concepts based on learners’ artifacts,An Investigation of the Data Collection Instruments Developed to Measure Computational Thinking
A double dissociative study into the effectiveness of computational thinking,Computational thinking and thinking about computing
A Model for Developing Computational Thinking Skills,Computational thinking in compulsory education: Towards an agenda for research and practice
A Preliminary Investigation of the Definition and Components of Computational Thinking in the Malaysian Education Landscape: From Educational Technology Experts' Perspective,Computational thinking and thinking about computing
A Preliminary Investigation of the Definition and Components of Computational Thinking in the Malaysian Education Landscape: From Educational Technology Experts' Perspective,Computational Thinking in Elementary and Secondary Teacher Education
A Science Learning Environment using a Computational Thinking Approach,Computational thinking and thinking about computing
A Strategy of Learning Computational Thinking through Game Based in Virtual Reality: Systematic Review and Conceptual Framework,Research on Head-Mounted Virtual Reality and Computational Thinking Experiments to Improve the Learning Effect of AIoT Maker Course: Case of Earthquake Relief Scenes
A Strategy of Learning Computational Thinking through Game Based in Virtual Reality: Systematic Review and Conceptual Framework,Assessing 4th Grade Students’ Computational Thinking through Scratch Programming Projects
"A Study of the Impact of Arduino and Visual Programming In Self-Efficacy, Motivation, Computational Thinking and 5th Grade Students’ Perceptions on Electricity",The Impact of a STEM Inquiry Game Learning Scenario on Computational Thinking and Computer Self-confidence
BlocklyScript: Design and Pilot Evaluation of an RPG Platform Game for Cultivating Computational Thinking Skills to Young Students,Integrating Computational Thinking with a Music Education Context
BlocklyScript: Design and Pilot Evaluation of an RPG Platform Game for Cultivating Computational Thinking Skills to Young Students,"Computer Science Teachers' Perceptions, Beliefs and Attitudes on Computational Thinking in Greece"
BlocklyScript: Design and Pilot Evaluation of an RPG Platform Game for Cultivating Computational Thinking Skills to Young Students,The Effect of Unplugged Coding Activities on Computational Thinking Skills of Middle School Students
Co-designing to develop computational thinking skills in Nigeria K-12 using scratch,Computational Thinking: A Disciplinary Perspective
Co-designing to develop computational thinking skills in Nigeria K-12 using scratch,"Computational Thinking from a Disciplinary Perspective: Integrating Computational Thinking in K-12 Science, Technology, Engineering, and Mathematics Education"
Co-designing to develop computational thinking skills in Nigeria K-12 using scratch,Computational Thinking Integration Patterns Along the Framework Defining Computational Thinking from a Disciplinary Perspective
Co-designing to develop computational thinking skills in Nigeria K-12 using scratch,A Model for Developing Computational Thinking Skills
Co-designing to develop computational thinking skills in Nigeria K-12 using scratch,Effects of Scratch-based activities on 4th-grade students’ computational thinking skills
Co-designing to develop computational thinking skills in Nigeria K-12 using scratch,Co-design Pedagogy for Computational Thinking Education in K-12: A Systematic Literature Review
Co-design Pedagogy for Computational Thinking Education in K-12: A Systematic Literature Review,Computational thinking education: Issues and challenges
Co-design Pedagogy for Computational Thinking Education in K-12: A Systematic Literature Review,Computational Thinking: A Disciplinary Perspective
Co-design Pedagogy for Computational Thinking Education in K-12: A Systematic Literature Review,Teachers’ narrative of learning to program in a professional development effort and the relation to the rhetoric of computational thinking
Co-design Pedagogy for Computational Thinking Education in K-12: A Systematic Literature Review,The Impact of Coding Apps to Support Young Children in Computational Thinking and Computational Fluency. A Literature Review
Co-design Pedagogy for Computational Thinking Education in K-12: A Systematic Literature Review,Integrating Computational Thinking into Elementary Science Curriculum: an Examination of Activities that Support Students’ Computational Thinking in the Service of Disciplinary Learning
