================================================================================
REMOVED WORDS - COMPLETE LIST
================================================================================

STEP 2: WORDS REMOVED AFTER MERGING
--------------------------------------------------------------------------------
Total removed: 825 unique words
Total frequency removed: 9,187

Rank     Word                                     Frequency   
--------------------------------------------------------------------------------
1        and                                      664         
2        the                                      520         
3        to                                       415         
4        of                                       344         
5        in                                       327         
6        that                                     272         
7        ct                                       257         
8        as                                       214         
9        wing                                     207         
10       problems                                 189         
11       is                                       164         
12       by                                       152         
13       problem                                  140         
14       solving                                  138         
15       can                                      113         
16       for                                      113         
17       solutions                                98          
18       be                                       92          
19       science                                  89          
20       on                                       83          
21       it                                       79          
22       et                                       77          
23       al                                       77          
24       an                                       74          
25       skills                                   68          
26       human                                    66          
27       are                                      65          
28       process                                  64          
29       with                                     59          
30       processes                                56          
31       fundamental                              56          
32       way                                      54          
33       or                                       50          
34       solve                                    50          
35       their                                    49          
36       not                                      48          
37       such                                     46          
38       understanding                            46          
39       thought                                  45          
40       formulating                              44          
41       this                                     44          
42       designing                                42          
43       out                                      40          
44       definition                               38          
45       use                                      36          
46       so                                       36          
47       was                                      36          
48       using                                    36          
49       which                                    35          
50       skill                                    35          
51       set                                      33          
52       behavior                                 33          
53       we                                       33          
54       they                                     32          
55       solution                                 31          
56       design                                   31          
57       from                                     30          
58       how                                      27          
59       into                                     26          
60       approach                                 25          
61       these                                    25          
62       through                                  24          
63       has                                      24          
64       form                                     24          
65       everyone                                 23          
66       complex                                  23          
67       what                                     23          
68       have                                     23          
69       understand                               22          
70       iste                                     22          
71       think                                    22          
72       according                                21          
73       its                                      21          
74       based                                    21          
75       about                                    20          
76       also                                     20          
77       them                                     20          
78       one                                      19          
79       world                                    19          
80       shute                                    19          
81       jeannette                                18          
82       must                                     18          
83       been                                     17          
84       study                                    17          
85       de                                       17          
86       more                                     17          
87       used                                     16          
88       but                                      16          
89       most                                     16          
90       machine                                  16          
91       pea                                      16          
92       barr                                     15          
93       do                                       15          
94       just                                     15          
95       csta                                     15          
96       term                                     15          
97       technology                               15          
98       other                                    15          
99       should                                   14          
100      only                                     14          
101      society                                  14          
102      method                                   14          
103      who                                      13          
104      concept                                  13          
105      then                                     13          
106      than                                     13          
107      behaviour                                13          
108      while                                    12          
109      following                                12          
110      carry                                    12          
111      framework                                12          
112      papert                                   12          
113      develop                                  12          
114      identify                                 12          
115      formulate                                12          
116      include                                  12          
117      learn                                    12          
118      there                                    11          
119      stephenson                               11          
120      all                                      11          
121      real                                     11          
122      us                                       11          
123      four                                     11          
124      need                                     11          
125      operational                              11          
126      knowledge                                11          
127      work                                     11          
128      brennan                                  11          
129      new                                      11          
130      many                                     11          
131      evaluation                               11          
132      general                                  10          
133      effective                                10          
134      different                                10          
135      century                                  10          
136      help                                     10          
137      first                                    10          
138      ned                                      10          
139      weintrop                                 10          
140      various                                  9           
141      three                                    9           
142      research                                 9           
143      cs                                       9           
144      cuny                                     9           
145      could                                    9           
146      order                                    9           
147      apply                                    9           
148      at                                       9           
149      paper                                    9           
150      she                                      9           
151      when                                     8           
152      series                                   8           
153      ways                                     8           
154      dimension                                8           
155      literacy                                 8           
156      her                                      8           
157      since                                    8           
158      core                                     8           
159      will                                     8           
160      scientist                                8           
161      selby                                    7           
162      tool                                     7           
163      create                                   7           
164      every                                    7           
165      school                                   7           
166      statement                                7           
167      necessary                                7           
168      well                                     7           
169      question                                 7           
170      parts                                    7           
171      those                                    7           
172      attitude                                 7           
173      would                                    7           
174      literature                               7           
175      however                                  7           
176      example                                  7           
177      woollard                                 6           
178      key                                      6           
179      both                                     6           
180      some                                     6           
181      write                                    6           
182      down                                     6           
183      life                                     6           
184      our                                      6           
185      make                                     6           
186      five                                     6           
187      application                              6           
188      goal                                     6           
189      combination                              6           
190      variety                                  6           
191      update                                   6           
192      motion                                   6           
193      force                                    6           
194      appropriate                              6           
195      support                                  6           
196      scratch                                  6           
197      see                                      6           
198      article                                  6           
199      within                                   6           
200      sub                                      6           
201      jeanette                                 6           
202      logic                                    6           
203      people                                   6           
204      cansu                                    6           
205      engage                                   6           
206      mobile                                   6           
207      stem                                     6           
208      like                                     6           
209      express                                  6           
210      no                                       5           
211      become                                   5           
212      users                                    5           
213      wide                                     5           
214      task                                     5           
215      common                                   5           
216      along                                    5           
217      focus                                    5           
218      today                                    5           
219      know                                     5           
220      particular                               5           
221      being                                    5           
222      beyond                                   5           
223      recent                                   5           
224      early                                    5           
225      taxonomy                                 5           
226      large                                    5           
