row_type,id,type,source,target
node,Promoting computational thinking of both sciences- and humanities-oriented students: an instructional and motivational design perspective,core,,
node,Computational Thinking and Problem-Solving in the Context of IEA-ICILS 2018,core,,
node,Computational Thinking as Public Experiences: The Role of Professional Vision,core,,
node,Improving 6th Grade Students’ Creative Problem Solving Skills Through Plugged and Unplugged Computational Thinking Approaches,core,,
node,Preparing Preservice Resident Teachers for Equity-Centered Computational Thinking in STEM (STEMeCT) Education,core,,
node,From Abstraction to Implementation: Can Computational Thinking Improve Complex Real-World Problem Solving? A Computational Thinking-Based Approach to the SDGs,core,,
node,Immediate Feedback in Computational Thinking: Generating hints using a Knowledge Graph,core,,
node,Computer Thinking Nurturing Skills and Inspiring Pedagogy for Sustainable Education in the 21 st Century,core,,
node,Entanglement of Computational Thinking and Fairness Reasoning in a Resource Allocation Scenario,core,,
node,Rasch Analysis for Disposition Levels of Computational Thinking Instrument Among Secondary School Students,core,,
node,Using Computational Thinking as a Metacognitive Tool in the Context of Plugged Vs. Unplugged Computational Activities,core,,
node,The Effect of a training program based on the (TAWOCK) model for teaching computational thinking skills on teaching self- efficacy among female computer teachers,core,,
node,The Interest-Driven Creator Theory and Computational Thinking,core,,
node,Communicating about computational thinking: understanding affordances of portfolios for assessing high school students’ computational thinking and participation practices,core,,
node,Design mobile computational thinking-integrated mathematics lessons based on the 5E instructional model for primary students,core,,
node,"Computational Thinking Assessment in Primary and Secondary Education: A Meta-synthesis of tools, Methods and Pedagogical Approaches",core,,
node,"The interdisciplinary implementation of poly-universe to promote computational thinking: Teaching examples from biological, physical, and digital education in Austrian secondary schools",core,,
node,Effects of a Pair Programming Educational Robot-Based Approach on Students’ Interdisciplinary Learning of Computational Thinking and Language Learning,core,,
node,Designing and Implementing Sensor-Based Science Units That Incorporate Computational Thinking,core,,
node,The relation between computational thinking and logical thinking in the context of robotics education,core,,
node,Computational Thinking in Education: Where does it fit? A systematic literary review,core,,
node,Integrating Computational Thinking and Data Science: The Case of Modding Classification Games,core,,
node,Co-designing to develop computational thinking skills in Nigeria K-12 using scratch,core,,
node,"Developing Preschool Teachers’ Computational Thinking Knowledge, Attitudes, Beliefs, and Teaching Self-Efficacies: A Curriculum-Based Professional Development Program",core,,
node,How is computational thinking assessed in European K-12 education? A systematic review,core,,
node,Educational Robotics Applications for the Development of Computational Thinking in a Brazilian Technical and Vocational High School,core,,
node,Global Trends in Computational Thinking in Curricula: A Comparative Review,core,,
node,Knowledge-based recommendation system for teaching computational thinking in primary level students,core,,
node,A Case Study on How Children Develop Computational Thinking Collaboratively with Robotics Toys,core,,
node,Computational thinking with game design: An action research study with middle school students,core,,
node,Integrating the Constructionist Learning Theory with Computational Thinking Classroom Activities,core,,
node,Multivocal Challenge toward Measuring Computational Thinking Bebras Challenge versus Computer Programming,core,,
node,Research trends of computational thinking in mathematics learning: A bibliometric analysis from 2009 to 2023,core,,
node,Abbiamo davvero bisogno del pensiero computazionale?,core,,
node,Skyscraper Games: Professional Development to Promote Computational Thinking Using Custom Tools,core,,
node,Design and Computational Thinking with IoTgo: What Teachers Think,core,,
node,Views From the Classroom: New Teachers of Computational Thinking Describe Their Experiences,core,,
node,Formation of Computational Thinking Skills Using Computer Games in Teaching Mathematics,core,,
node,Computational Thinking with the Web Crowd using CodeMapper *,core,,
node,The Impact of a STEM Inquiry Game Learning Scenario on Computational Thinking and Computer Self-confidence,core,,
node,Implementability of computational thinking in Danish compulsory school mathematics -a survey conducted in a pre-implementation context,core,,
node,Articulating a Sociocultural Framework for Identifying and Assessing Computational Thinking,core,,
node,"Computational Thinking from a Disciplinary Perspective: Integrating Computational Thinking in K-12 Science, Technology, Engineering, and Mathematics Education",core,,
node,ScratchThAI: A conversation-based learning support framework for computational thinking development,core,,
node,THE DESIGN AND VALIDATION OF A TOOL TO MEASURE CONTENT VALIDITY OF A COMPUTATIONAL THINKING GAME-BASED LEARNING MODULE FOR TERTIARY EDUCATIONAL STUDENTS,core,,
node,The Effect of Unplugged Coding Activities on Computational Thinking Skills of Middle School Students,core,,
node,A data-driven approach to assess computational thinking concepts based on learners’ artifacts,core,,
node,Two Changing Minds: A Journey to Culturally Responsive and Computational Thinking Infused Science Teaching,core,,
node,Computational Thinking in the Formation of Engineers (Year 1),core,,
node,"The Effect of Gender, Grade, Time and Chronotype on Computational Thinking: Longitudinal Study",core,,
node,"Using Classroom Practice as ""an Object to Think with"" to Develop Preservice Teachers' Understandings of Computational Thinking",core,,
node,Computational Thinking on the Way to a Cultural Technique A Debate on Lords and Servants,core,,
node,Teaching the Concept of Computational Thinking: A STEM-Based Program With Tangible Robots on Project-Based Learning Courses,core,,
node,Precipitating Change: Embedding Computational Thinking Into the Middle School Science Classroom,core,,
node,Smart Assessment of and Tutoring for Computational Thinking MOOC Assignments using MindReader,core,,
node,Computational Thinking in Primary School: An Examination of Abstraction and Decomposition in Different Age Groups,core,,
node,Investigating Preservice Elementary Science Teachers’ Understanding of Climate Change from a Computational Thinking Systems Perspective,core,,
node,Assessing young Korean children’s computational thinking: A validation study of two measurements,core,,
node,The Impact of an Educational Board Game on Students' Learning Achievement and Flow State in Media and Information Literacy,core,,
node,Development and Validation of a Computational Thinking Affective Scale,core,,
node,"The Competent Computational Thinking Test (cCTt): A Valid, Reliable and Gender-Fair Test for Longitudinal CT Studies in Grades 3–6",core,,
node,Developing a learning goal framework for computational thinking in computationally integrated physics classrooms,core,,
node,ASTROCODE: A SERIOUS GAME FOR THE DEVELOPMENT OF COMPUTATIONAL THINKING SKILLS,core,,
node,Going beyond digital literacy to develop computational thinking in K-12 education,core,,
node,Interdisciplinary Integration of Computational Thinking in K-12 Education: A Systematic Review,core,,
node,Effects of a Computational Thinking Module on Preservice Teachers' Knowledge and Beliefs,core,,
node,Computational Thinking in pre-university Blended Learning classrooms,core,,
node,"Correction to: Modelling the relationships between STEM learning attitude, computational thinking, and 21st century skills in primary school",core,,
node,Exploring the Development of Primary School Students’ Computational Thinking and 21st Century Skills Through Scaffolding: Voices from the Stakeholders,core,,
node,Pre-Service Teacher Training Program of STEM-based activities in Computing Science to Develop Computational Thinking,core,,
node,The relationship between Executive Functions and Computational Thinking,core,,
node,Computational Thinking Enrichment: Public-Key Cryptography,core,,
node,"Integrating computing in the statistics and data science curriculum: Creative structures, novel skills and habits, and ways to teach computational thinking",core,,
node,How Computational Thinking Can Become a Sensemaking Practice for Preservice Teachers in an Engineering Course,core,,
node,Lifelong learning challenges in the era of artificial intelligence: a computational thinking perspective,core,,
node,Developing College students’ computational thinking multidimensional test based on Life Story situations,core,,
node,Prospective Mathematics and Sciences Teachers' Views on Coding and Computational Thinking,core,,
node,Assessment of Computational Thinking – A Croatian Evidence-Centered Design model,core,,
node,Computational Thinking and Practice -A Generic Approach to Computing in Danish High Schools,core,,
node,Learning Ecology Mapping of Computational Thinking Resources in Elementary School,core,,
node,Difficult Concepts and Practices of Computational Thinking Using Block-based Programming,core,,
node,Empowering Students Computational Thinking through Robotics-enabled STEM Education,core,,
node,Productive Failure-based Programming Course to Develop Computational Thinking and Creative Problem-Solving Skills in a Korean Elementary School,core,,
node,Introducing Geometric Algebra to Geometric Computing Software Developers: A Computational Thinking Approach,core,,
node,“We are too dumb for this”: a critical discourse analysis of stereotypical attributions to struggle with computational thinking,core,,
node,Coding as Another Language: An International Comparative Study of Learning Computer Science and Computational Thinking in Kindergarten,core,,
node,Developing Computational Thinking in Scientific Inquiry: Use of sInvestigator in Problem Solving,core,,
node,Increasing Preservice Teachers' Computational Thinking Lesson Design Capacity Within a Research-Practice Partnership,core,,
node,Problem Solving and Computers in a Learning Environment,core,,
node,Snapshot of Computational Thinking in Turkey: A Critique of 2019 Bebras Challenge,core,,
node,Teaching programming and computational thinking in early childhood education: a case study of content knowledge and pedagogical knowledge,core,,
node,Teachers’ narrative of learning to program in a professional development effort and the relation to the rhetoric of computational thinking,core,,
node,An elementary finite element exercise to stimulate computational thinking in engineering education,core,,
node,Educational Policy as Predictor of Computational Thinking: A Supervised Machine Learning Approach,core,,
node,Robotics in early childhood STEM education (REC-STEMEd): The impact on preservice teachers’ attitudes and intentions toward computational thinking,core,,
node,Analysis of algorithmic strategy development in the development of computational thinking of upper elementary school students,core,,
node,The efficacy of project-based learning in enhancing computational thinking among students: A meta-analysis of 31 experiments and quasi-experiments,core,,
node,The Impact of SRA-Programming on Computational Thinking in a Visual Oriented Programming Environment,core,,
node,Preservice Teachers’ Use of Computational Thinking to Facilitate Inquiry-based Practical Work in Multiple-deprived Classrooms,core,,
node,"Design, development, and evaluation of a virtual reality game-based application to support computational thinking",core,,
node,Fostering Computational Thinking In Introductory Mechanics,core,,
node,Computational thinking and thinking about computing,core,,
node,A double dissociative study into the effectiveness of computational thinking,core,,
node,The scope of autonomy when teaching computational thinking in primary school,core,,
node,A Bebras Computational Thinking (ABC-Thinking) program for primary school: Evaluation using the competent computational thinking test,core,,
node,Developing a pedagogical evaluation framework for computational thinking supporting technologies and tools,core,,
node,FADE-CTP: A Framework for the Analysis and Design of Educational Computational Thinking Problems,core,,
node,Designing Professional Learning Workshop for Shaping Teachers' Learning Pedagogical Content Knowledge in Computational Thinking,core,,
node,ROBOTICS AND COMPUTATIONAL THINKING FOR PRIMARY SCHOOL,core,,
node,What Else Can Be Learned When Coding? A Configurative Literature Review of Learning Opportunities Through Computational Thinking,core,,
node,"Computational Thinking Skills, Programming Self-Efficacies and Programming Attitudes of the Students",core,,
node,Computational Thinking: A Pedagogical Approach Developed to Prepare UNCW Students for the Era of Artificial Intelligence,core,,
node,Deepening the Integration of Computational Thinking and Science Through Decoding in a Middle School Summer Program,core,,
node,Humble N and Mozelius P ( ) Gradesteachers' perception of computational thinking for mathematics and technology,core,,
node,Approaches to Assess Computational Thinking Competences Based on Code Analysis in K-12 Education: A Systematic Mapping Study,core,,
node,Practical Teaching Reform on Computational Thinking Training for Undergraduates of Computer Major,core,,
node,An Overview of Computational Thinking,core,,
node,Review on pedagogical practices for computational thinking in teacher education,core,,
node,An Investigation of the Data Collection Instruments Developed to Measure Computational Thinking,core,,
node,"Computer Science Teachers' Perceptions, Beliefs and Attitudes on Computational Thinking in Greece",core,,
node,"""These Two Worlds are Antithetical"": Epistemic Tensions in Integrating Computational Thinking in K12 Humanities and Arts",core,,
node,Exploring and comparing computational thinking skills in students who take GCSE Computer Science and those who do not,core,,
node,"A multigroup structural equation modeling analysis of students’ perception, motivation, and performance in computational thinking",core,,
node,"QUÍ-BOT-H2O CHALLENGE: INTEGRATION OF COMPUTATIONAL THINKING WITH CHEMICAL EXPERIMENTATION AND ROBOTICS THROUGH A WEB-BASED PLATFORM FOR EARLY AGES INCLUDING GENDER, INCLUSIVE AND DIVERSITY PATTERNS",core,,
node,Introducing Pre-Service Teachers to Computational Thinking at Scale,core,,
node,Curriculum Framework and Assessment Approach for Computational Thinking in the Early Years,core,,
node,Fostering preservice teachers’ expectancies and values towards computational thinking,core,,
node,The Use of Rapid Digital Game Creation to Learn Computational Thinking,core,,
node,Mapping Computational Thinking and Programming Skills Using Technacy Theory,core,,
node,Examination of Computational Thinking Capacity-Building Through Peer Collaborations in STEM-Integrated Robotics Program,core,,
node,Broadening the Middle School Computational Thinking Interventions Beyond Block Programming,core,,
node,"Implementation through adaptation: Relations between mathematics, programming, and computational thinking",core,,
node,Assessing 4th Grade Students’ Computational Thinking through Scratch Programming Projects,core,,
node,Monkeying Around: Developing Preschoolers' Computational Thinking Through Joint Engagement,core,,
node,Effects on Fostering Computational Thinking by Externalizing a Solution with Construction of a Problem-Solving Model,core,,
node,Interactive Assessments of CT (IACT): Digital Interactive Logic Puzzles to Assess Computational Thinking in Grades 3–8,core,,
node,Measuring Awareness of Computational Thinking in Kuwaiti Educational Institutions,core,,
node,Computational thinking education: Issues and challenges,core,,
node,Characterising problem handling in the intersection between computational thinking and mathematics,core,,
node,Exploring Potentials and Challenges to Develop Twenty-First Century Skills and Computational Thinking in K-12 Maker Education,core,,
node,Towards Computational Thinking in Scandinavia,core,,
node,The Impact of Coding Apps to Support Young Children in Computational Thinking and Computational Fluency. A Literature Review,core,,
node,Improving Capstone Research Projects: Using Computational Thinking to Provide Choice and Structured Active Learning,core,,
node,The Effect of Creating 3D Objects with Block Codes on Spatial and Computational Thinking Skills,core,,
node,What Emotions do Pre-university Students Feel when Engaged in Computational Thinking Activities?,core,,
node,Computational Thinking in Secondary Education: Where does it fit? A systematic literary review,core,,
node,Computer Supported Education,core,,
node,Developing Children's Computational Thinking: Algorithmic Thinking and Debugging,core,,
node,Teaching computational thinking using scenario-based learning tools,core,,
node,STEAM Teacher for a Day: A Case Study of Teachers’ Perspectives on Computational Thinking,core,,
node,Assessing Computational Thinking Process using a Multiple Evaluation Approach,core,,
node,A Preliminary Investigation of the Definition and Components of Computational Thinking in the Malaysian Education Landscape: From Educational Technology Experts' Perspective,core,,
node,Computational Thinking and Robotics in Mixed Environments,core,,
node,"CT in ES, ""Oh My"": Developing Computational Thinking in Elementary Schools",core,,
node,Learning System for Computational Thinking using Appealing User Interface with Icon-Based Programming Language on Smartphones,core,,
node,Computational Thinking Development Challenges: Case Studies In Thai Primary Education,core,,
node,EDITED AND REVIEWED BY,core,,
node,Classroom Talk and Computational Thinking,core,,
node,Computer Science and Computational Thinking Across the Early Elementary Curriculum (Work in Progress),core,,
node,Teachers' perspective on fostering computational thinking through educational robotics,core,,
node,Effects of augmented reality application integration with computational thinking in geometry topics,core,,
node,"EduLearn 2016, Barcelona, Spain",core,,
node,Using Dr. Scratch as a Formative Feedback Tool to Assess Computational Thinking Samuel Frank Browning A thesis submitted to the faculty of Brigham Young University in partial fulfillment of the requirements for the degree of Master of Science,core,,
node,The Relationship Between Learning Spaces and the Development of Computational Thinking Skill,core,,
node,Addressing Dilemmas in the Design of Diverse Informal Learning Environments That Support Youth Computational Thinking,core,,
node,An Operationalized Model for Defining Computational Thinking,core,,
node,The Creation of Animated Graphs to Develop Computational Thinking and Support STEM Education,core,,
node,Computational Thinking Relationship with Digital Competence,core,,
node,Including neurodiversity in computational thinking,core,,
node,DEVELOPING PRESCHOOL CHILDREN'S COMPUTATIONAL THINKING WITH EDUCATIONAL ROBOTICS: THE ROLE OF COGNITIVE DIFFERENCES AND SCAFFOLDING,core,,
node,Integrating Computational Thinking into Elementary Science Curriculum: an Examination of Activities that Support Students’ Computational Thinking in the Service of Disciplinary Learning,core,,
node,Combined Effects of Block-Based Programming and Physical Computing on Primary Students' Computational Thinking Skills,core,,
node,Improving and Assessing Computational Thinking in Maker Activities: the Integration with Physics and Engineering Learning,core,,
node,Demystifying computational thinking for teacher candidates: A case study on Turkish secondary school pre-service teachers,core,,
node,Computational Thinking in K-12: An analysis with Mathematics Teachers,core,,
node,Designing Teacher Professional Development Using Conjecture Mapping to Support Teachers' Computational Thinking Integration Efforts,core,,
node,Factors Predicting Retention in Computer Science MOOC: A Survival Analysis of Pre-Computational Thinking and Auto-Feedback,core,,
node,Learning Effectiveness of Integrating Peer Assessment and Board Games in a Computational Thinking and Artificial Intelligence Unit: Taking Speech Recognition as Examples,core,,
node,A Crowd-Programming Approach for Computational Thinking Education,core,,
node,Studying Computational Thinking through Collaborative Design Activities,core,,
node,Fostering computational thinking through digital storytelling: a distinctive approach to promoting computational thinking skills of pre-service teachers,core,,
node,"The Effect of the Modality on Students’ Computational Thinking, Programming Attitude, and Programming Achievement",core,,
node,The effect of scaffolding programming games and attitudes towards programming on the development of Computational Thinking,core,,
node,"WearableLearning: Developing Computational Thinking Through Modeling, Simulation, and Computational Problem Solving",core,,
node,What is the Relationship between Students’ Computational Thinking Performance and School Achievement?,core,,
node,Cultivating Computational Thinking through Data Practice,core,,
node,Computational Thinking in Patch,core,,
node,Building School-Level Capacity to Broaden Integration of Computational Thinking: A Research-Practice Partnership Approach,core,,
node,The effect on computational thinking and identified learning aspects: Comparing unplugged smartGames with SRA-Programming with tangible or On-screen output,core,,
node,Iterative Problem Solving in the Integration of Design Thinking and Game-Based Learning into Enhancing Computational Thinking and AI Literacy,core,,
node,To Assess or Not to Assess: Tensions Negotiated in Six Years of Teaching Teachers about Computational Thinking,core,,
node,Correction to: Effects of robotics STEM camps on rural elementary students’ self-efficacy and computational thinking,core,,
node,"Development and Validation of a Problem-Solving Instrument (Multiple-Choice Questions) for Computational Thinking Among Trainee Teachers in the Klang Valley, Malaysia",core,,
node,Integrating Computational Thinking with Digital Storytelling to Enhancing Expression Ability,core,,
node,How Multidimensional is Computational Thinking Competency? A Bi-factor Model of the Computational Thinking Challenge,core,,
node,A Systematic Review of Computational Thinking in Early Ages,core,,
node,Computational Thinking in Primary Schools: Theory and Causal Models,core,,
node,Integrating Computational Thinking and Empowering Metacognitive Awareness in Stem Education,core,,
node,COMPUTATIONAL THINKING IN DENMARK FROM AN ANTHROPOLOGICAL THEORY OF THE DIDACTIC PERSPECTIVE,core,,
node,Computational thinking and repetition patterns in early childhood education: Longitudinal analysis of representation and justification,core,,
node,Transformative Computational Thinking in Mathematics,core,,
node,Investigating the effects of gender and scaffolding in developing preschool children’s computational thinking during problem-solving with Bee-Bots,core,,
node,Assessing Computational Thinking in a Project-Based STEM+CT Learning Environment,core,,
node,Computational Thinking Equity in Elementary Classrooms: What Third-Grade Students Know and Can Do,core,,
node,"The effect of robotics on six graders’ academic achievement, computational thinking skills and conceptual knowledge levels",core,,
node,Correction to: The infuence of scafolding for computational thinking on cognitive load and problemsolving skills in collaborative programming,core,,
node,Developing and Assessing Computational Thinking in Secondary Education using a TPACK Guided Scratch Visual Execution Environment,core,,
node,Teaching Computational Thinking to K-12 Educators through Distance Learning,core,,
node,Research on Head-Mounted Virtual Reality and Computational Thinking Experiments to Improve the Learning Effect of AIoT Maker Course: Case of Earthquake Relief Scenes,core,,
node,An Investigation of In-service Teachers’ Perceptions and Development of Computational Thinking Skills in a Graduate Emerging Technologies Course,core,,
node,"International Journal on ""Technical and Physical Problems of Engineering"" (IJTPE)",core,,
node,"Programming Approaches to Computational Thinking: Integrating Turtle Geometry, Dynamic Manipulation and 3D Space",core,,
node,Exploring Factors That Influence Computational Thinking Skills in Elementary Students’ Collaborative Robotics,core,,
node,Computational Thinking in Elementary and Secondary Teacher Education,core,,
node,Anticipating User Needs: Insights from Design Fiction on Conversational Agents for Computational Thinking,core,,
node,A Collaborative Learning Framework for Computational Thinking Development through Game Programming,core,,
node,Setting the Foundation for Scientific Inquiry and Computational Thinking in Early Childhood using Lego Machines and Mechanism Education Kit,core,,
node,The Effects of Mind Maps on Computational Thinking,core,,
node,BlocklyScript: Design and Pilot Evaluation of an RPG Platform Game for Cultivating Computational Thinking Skills to Young Students,core,,
node,Developing Teaching Practice in Computational Thinking in Palestine,core,,
node,Assessing Computational Thinking Attitudes in Empirical Research: A Systematic Review,core,,
node,Educational Robotics Intervention to Foster Computational Thinking in Preschoolers: Effects of Children’s Task Engagement,core,,
node,"A Study of the Impact of Arduino and Visual Programming In Self-Efficacy, Motivation, Computational Thinking and 5th Grade Students’ Perceptions on Electricity",core,,
node,Comparing the psychometric properties of two primary school Computational Thinking (CT) assessments for grades and : The Beginners' CT test (BCTt) and the competent CT test (cCTt),core,,
node,Computational Thinking: A Disciplinary Perspective,core,,
node,Computational thinking beyond computer science,core,,
node,Computational Thinking Integration Patterns Along the Framework Defining Computational Thinking from a Disciplinary Perspective,core,,
node,Enhancing middle school students’ computational thinking competency through game-based learning,core,,
node,Investigation of Computational Thinking in the Context of ICT and Mobile Technologies,core,,
node,"Relationships between middle school students’ digital literacy skills, computer programming self-efficacy, and computational thinking self-efficacy",core,,
node,Developing Middle School Students’ Computational Thinking Skills Using Unplugged Computing Activities,core,,
